time,neo_distance_to_goal,neo_distance_to_obstacle1,neo_distance_to_obstacle2
0.0,0.4729783003675382,0.41710681821815215,0.3683910381695276
0.01,0.47146848554818604,0.4157612045106148,0.3661408555400748
0.02,0.4699627098933967,0.41441593317166214,0.36389096120756537
0.03,0.46846092865174893,0.41307102069683277,0.3616415400938216
0.04,0.4669630973160648,0.4117264844259872,0.35939277707936257
0.05,0.46546917165558904,0.4103823425051349,0.3571448567301459
0.060000000000000005,0.46397910774716844,0.4090386138486807,0.35489796303319343
0.07,0.46249286200539347,0.40769531810216314,0.35265227914155023
0.08,0.46101039121166415,0.40635247560555493,0.3504079871289998
0.09,0.45953165254215134,0.40501010735719384,0.3481652677549264
0.09999999999999999,0.4580566035946218,0.4036682349784115,0.3459243002396848
0.10999999999999999,0.4565852024141092,0.4023268806789268,0.3436852620508047
0.11999999999999998,0.45511740751741037,0.40098606722306485,0.34144832870032454
0.12999999999999998,0.45365317791639514,0.3996458178968629,0.33921367355351445
0.13999999999999999,0.45219247314012095,0.3983061564761194,0.3369814676492132
0.15,0.45073525325574626,0.3969671071954387,0.33475187953197016
0.16,0.4492814801692953,0.3956286953123663,0.33252507528423064
0.17,0.4478311137098609,0.3942909452793885,0.3303012178272628
0.18000000000000002,0.44638411567544806,0.3929538825326026,0.3280804673345436
0.19000000000000003,0.44494044847382264,0.3916175328539708,0.3258629809344244
0.20000000000000004,0.4435000751375019,0.3902819223459948,0.3236489126028847
0.21000000000000005,0.4420629593375982,0.3889470774076116,0.32143841306847515
0.22000000000000006,0.44062906539654156,0.38761302471133374,0.31923162972939007
0.23000000000000007,0.4391983582996993,0.3862797911816483,0.31702870658257604
0.24000000000000007,0.4377708037059253,0.38494740397468696,0.31482978416475016
0.25000000000000006,0.4363463679570617,0.3836158904591699,0.3126349995051686
0.26000000000000006,0.434925018086428,0.3822852781986276,0.31044448608995856
0.2700000000000001,0.43350672182632577,0.38095559493489356,0.3082583738377927
0.2800000000000001,0.4320914476145984,0.3796268685728603,0.30607678908666364
0.2900000000000001,0.43067916468609246,0.3782991271475622,0.3038998545975204
0.3000000000000001,0.42926984298032045,0.3769723988318051,0.3017276895553801
0.3100000000000001,0.42786345307932694,0.3756467119398319,0.29956040958305663
0.3200000000000001,0.4264599662881486,0.37432209490029184,0.29739812677489164
0.3300000000000001,0.42505935463717,0.37299857624702376,0.2952409497345004
0.34000000000000014,0.42366159088375577,0.37167618461096147,0.2930889836216661
0.35000000000000014,0.42226664851318774,0.37035494871312236,0.2909423302079971
0.36000000000000015,0.4208745017389503,0.3690348973586436,0.28880108794094916
0.37000000000000016,0.41948512559253476,0.3677160594575286,0.28666535200421245
0.38000000000000017,0.41809849625282486,0.36639846411682075,0.2845352143552577
0.3900000000000002,0.41671459013561407,0.36508214037923603,0.2824107639328043
0.4000000000000002,0.4153333843806337,0.36376711735460837,0.2802920866831117
0.4100000000000002,0.4139548568479728,0.3624534242212931,0.2781792656599072
0.4200000000000002,0.4125789861151783,0.36114109022555846,0.27607238112987836
0.4300000000000002,0.4112057514739381,0.35983014468170244,0.2739715106836025
0.4400000000000002,0.4098351329263813,0.3585206169728473,0.27187672935149765
0.45000000000000023,0.40846711118101797,0.3572125365523603,0.269788109724388
0.46000000000000024,0.4071016676483547,0.35590593294585493,0.2677057220782845
0.47000000000000025,0.4057387844361994,0.3546008357537224,0.2656296345029919
