time,neo_distance_to_goal,neo_distance_to_obstacle1,neo_distance_to_obstacle2,manipulability
5.5299999999999265,0.06529820612764456,0.5805400830559776,0.7459933083967706,0.0918883471044235
5.539999999999926,0.0650984598065336,0.5823118010776506,0.7482184702055247,0.09188273020678248
5.549999999999926,0.06489961222812406,0.584084635403706,0.7504471449303715,0.09187735925100302
5.559999999999926,0.06470165857208832,0.5858585784412911,0.752679362149176,0.09187223825856071
5.569999999999926,0.06450459404349736,0.5876336226723018,0.7549151519553008,0.09186737134059024
5.5799999999999255,0.06430841387270511,0.5894097606524906,0.7571545449685353,0.0918627627001939
5.589999999999925,0.06411311331522926,0.5911869850105917,0.7593975723463258,0.0918584166348242
5.599999999999925,0.06391868765164056,0.5929652884474644,0.7616442657953164,0.09185433753874005
5.609999999999925,0.06372513218744778,0.5947446637352548,0.7638946575832093,0.09185052990554941
5.619999999999925,0.0635324422529907,0.5965251037165742,0.766148780550953,0.09184699833082624
5.629999999999924,0.0633406132033297,0.5983066013036971,0.7684066681252689,0.09184374751482015
5.639999999999924,0.06314964041814294,0.6000891494777736,0.7706683543315251,0.09184078226525139
5.649999999999924,0.06295951930162141,0.6018727412880622,0.7729338738069673,0.09183810750019876
5.659999999999924,0.06277024528236896,0.6036573698511781,0.7752032618143194,0.09183572825108113
5.6699999999999235,0.06258181381330563,0.6054430283503585,0.7774765542557602,0.09183364966574116
5.679999999999923,0.06239422037157175,0.6072297100347457,0.7797537876872926,0.09183187701163116
5.689999999999923,0.06220746045843514,0.609017408218687,0.7820349993335111,0.0918304156791008
5.699999999999923,0.06202152959920396,0.6108061162810512,0.7843202271027839,0.09182927118480345
5.709999999999923,0.06183642334313966,0.6125958276645613,0.7866095096028607,0.09182844917521088
5.7199999999999225,0.061652137263375026,0.6143865358751459,0.7889028861569151,0.0918279554302481
5.729999999999922,0.061468666956836185,0.6161782344813054,0.7912003968200406,0.09182779586705431
5.739999999999922,0.06128600804416656,0.6179709171134945,0.7935020823962085,0.09182797654387131
5.749999999999922,0.061104156169657635,0.6197645774635245,0.7958079844557029,0.0918285036640635
5.759999999999922,0.0609231070011809,0.621559209283979,0.7981181453530494,0.09182938358027813
